Product_itemcode	product_Name	Material_itemcode	Material_name
PFT0139	Akril Panel 10 dumaloq	C0057	PP
PFTS0076	40-04 Plafon korpus	PFTS0023	Pet list 365-370 Boyalgan
PFTS0076	40-04 Plafon korpus	C0213	Pet list otxod
PFTS0011	5w-korpus	C0250	PBT qozon
PFTS0011	5w-korpus	LZ0024	AL-KORPUS-5
PFTS0011	5w-korpus	C0150	PBT otxod
PFTS0019	50w-korpus	C0150	PBT otxod
PFTS0019	50w-korpus	LZ0056	AL-KORPUS-50
PFTS0019	50w-korpus	C0149	PBT
PFTS0124	40-04 COFFEE Rom	C0261	palistrol qozon
PFTS0124	40-04 COFFEE Rom	PZ0028	PZ-To'q COFFEE rang
PFTS0124	40-04 COFFEE Rom	C0061	palistrol otxod
PFT0115	Tosh plast 71	C0071	PC
PFT0115	Tosh plast 71	C0271	kul rang
PFT0115	Tosh plast 71	C0166	PC drobilka
PFT0115	Tosh plast 71	C0074	PC otxod
PFTS0230	50-09 RED Rom	C0061	palistrol otxod
PFTS0230	50-09 RED Rom	PZ0031	PZ-RED rang
PFTS0067	50-67 Plafon korpus	C0182	PVC otxod
PFTS0067	50-67 Plafon korpus	PFTS0021	Pet list 475-480 Boyalgan
PFT0070	Churvaqa 14	C0046	aralash otxod drobilka
PFT0070	Churvaqa 14	C0043	aralash otxod
PFT0043	PLASMASSA TEGI-100 Silver	PFT0044	PLASMASSA TEGI-100
PFT0043	PLASMASSA TEGI-100 Silver	C0176	Silver  rang
PFT0043	PLASMASSA TEGI-100 Silver	C0186	Rastvaritel
PFT0196	Nar 24 Tagi gold	C0175	Gold rang
PFT0196	Nar 24 Tagi gold	C0179	Plastafleks
PFT0196	Nar 24 Tagi gold	PFT0021	Nar 24 Tagi
PFT0196	Nar 24 Tagi gold	C0186	Rastvaritel
PFT0072	Tosh plast 21	C0045	songru tosh abs
PFT0072	Tosh plast 21	C0039	songru tosh abs drobilka
PFT0072	Tosh plast 21	C0042	songru tosh abs otxod
PFTS0009	50w-qopqoq	C0232	PP lampa
PFTS0009	50w-qopqoq	C0160	PPT
PFTS0009	50w-qopqoq	C0233	PP lampa otxod
PFT0026	Vnut 4 Tagi	C0053	Kaltsiy
PFT0026	Vnut 4 Tagi	C0178	Shit rang
PFT0026	Vnut 4 Tagi	C0060	PP otxod
PFT0026	Vnut 4 Tagi	C0059	PP drobilka
PFTS0217	40-10 Plafon Korpus	PFTS0023	Pet list 365-370 Boyalgan
PFT0087	Ichi 79	C0014	rish abs otxod
PFT0087	Ichi 79	C0017	rich abs
PFTS0127	40-05 WHITE Rom	C0064	palistrol
PFTS0127	40-05 WHITE Rom	C0061	palistrol otxod
PFTS0217	40-10 Plafon Korpus	C0213	Pet list otxod
PFTS0032	50-06 Plafon korpus	PFTS0022	Pet list 465-470 Boyalgan
PFTS0032	50-06 Plafon korpus	C0213	Pet list otxod
PFT0062	Knopka 14	C0068	songru abs
PFT0062	Knopka 14	C0056	songru abs otxod
PFT0095	Kiyim 71	C0074	PC otxod
PFT0095	Kiyim 71	C0071	PC
PFTS0184	50-05 BLUE Rom	C0261	palistrol qozon
PFTS0184	50-05 BLUE Rom	C0061	palistrol otxod
PFTS0044	50-29 Plafon korpus	PFTS0022	Pet list 465-470 Boyalgan
PFTS0044	50-29 Plafon korpus	C0213	Pet list otxod
PFT0102	Prazrachniy 72	C0071	PC
PFT0102	Prazrachniy 72	C0074	PC otxod
PFTS0115	40-01 RED Rom	PZ0031	PZ-RED rang
PFTS0115	40-01 RED Rom	C0061	palistrol otxod
PFTS0115	40-01 RED Rom	C0261	palistrol qozon
PFTS0225	40-34 Plafon korpus VERAL	PZ0104	PZ-Pet list 365-370
PFTS0225	40-34 Plafon korpus VERAL	C0213	Pet list otxod
PFT0038	ps 24-1 qopqoq	C0057	PP
PFT0038	ps 24-1 qopqoq	C0060	PP otxod
PFT0038	ps 24-1 qopqoq	C0040	W rang
PFT0208	Nar 24 Tagi qora	C0266	Qora abs ( Nar Patron)
PFTS0186	50-05 RED Rom	C0061	palistrol otxod
PFTS0186	50-05 RED Rom	C0261	palistrol qozon
PFT0111	Tarelka 101	C0017	rich abs
PFT0111	Tarelka 101	C0014	rish abs otxod
PFT0118	Du 20 Vilka korpus	C0069	qora siryo otxod
PFT0118	Du 20 Vilka korpus	C0066	qora siryo
PFTS0084	40-15 Plafon korpus	PFTS0023	Pet list 365-370 Boyalgan
PFTS0084	40-15 Plafon korpus	C0213	Pet list otxod
PFT0014	Vnut 24 Ramka	C0014	rish abs otxod
PFT0014	Vnut 24 Ramka	C0017	rich abs
PFTS0085	40-24 Plafon korpus	PFTS0023	Pet list 365-370 Boyalgan
PFTS0085	40-24 Plafon korpus	C0213	Pet list otxod
PFTS0069	50-69 Plafon korpus	C0182	PVC otxod
PFTS0069	50-69 Plafon korpus	PFTS0021	Pet list 475-480 Boyalgan
PFTS0097	40-36 Plafon korpus	C0213	Pet list otxod
PFTS0097	40-36 Plafon korpus	PFTS0023	Pet list 365-370 Boyalgan
PFT0025	Vnut 6 Ramka	C0014	rish abs otxod
PFT0025	Vnut 6 Ramka	C0011	rich abs drobilka
PFTS0099	40-38 Plafon korpus	PFTS0023	Pet list 365-370 Boyalgan
PFTS0099	40-38 Plafon korpus	C0213	Pet list otxod
PFT0206	Vnut 36 Ramka	C0017	rich abs
PFTS0230	50-09 RED Rom	C0261	palistrol qozon
PFT0025	Vnut 6 Ramka	C0017	rich abs
PFTS0165	50-03 RED Rom	PZ0031	PZ-RED rang
PFTS0165	50-03 RED Rom	C0061	palistrol otxod
PFTS0165	50-03 RED Rom	C0261	palistrol qozon
PFT0005	Vnut 4 Oyna	C0061	palistrol otxod
PFT0005	Vnut 4 Oyna	C0217	Stretch plafon
PFT0083	Ramka 24	C0068	songru abs
PFT0083	Ramka 24	C0056	songru abs otxod
PFTS0040	50-25 Plafon korpus	PFTS0022	Pet list 465-470 Boyalgan
PFTS0040	50-25 Plafon korpus	C0213	Pet list otxod
PFTS0070	50-70 Plafon korpus	PFTS0021	Pet list 475-480 Boyalgan
PFTS0070	50-70 Plafon korpus	C0182	PVC otxod
PFT0033	Vnut 4 Ramka	C0017	rich abs
PFT0033	Vnut 4 Ramka	C0014	rich abs otxod
PFT0005	Vnut 4 Oyna	C0064	palistrol
PFT0005	Vnut 4 Oyna	C0048	Qora rang
PFT0157	Ramka 69	C0017	rich abs
PFT0157	Ramka 69	C0014	rich abs otxod
PFTS0028	50-02 Plafon korpus	PFTS0022	Pet list 465-470 Boyalgan
PFTS0028	50-02 Plafon korpus	C0213	Pet list otxod
PFTS0162	50-03 COFFEE Rom	PZ0030	PZ-COFFEE rang
PFTS0013	12w-korpus	LZ0031	AL-KORPUS-12
PFTS0013	12w-korpus	C0250	PBT qozon
PFTS0013	12w-korpus	C0150	PBT otxod
PFTS0162	50-03 COFFEE Rom	C0261	palistrol qozon
PFTS0162	50-03 COFFEE Rom	C0061	palistrol otxod
PFT0019	Nar 4 Tagi	C0014	rish abs otxod
PFT0019	Nar 4 Tagi	C0017	rich abs
PFT0136	Akril Panel 36 turburchak	C0060	PP otxod
PFT0136	Akril Panel 36 turburchak	C0057	PP
PFT0136	Akril Panel 36 turburchak	C0040	W rang
PFT0110	Ramka 81	C0014	rish abs otxod
PFT0077	Ramka 21	C0068	songru abs
PFT0077	Ramka 21	C0056	songru abs otxod
PFT0166	Ichi 97	C0014	rich abs otxod
PFT0166	Ichi 97	C0017	rich abs
PFT0110	Ramka 81	C0011	rich abs drobilka
PFT0110	Ramka 81	C0017	rich abs
PFT0004	Vnut 12 Oyna	C0061	palistrol otxod
PFT0004	Vnut 12 Oyna	C0048	Qora rang
PFT0004	Vnut 12 Oyna	C0064	palistrol
PFT0004	Vnut 12 Oyna	C0217	Stretch plafon
PFT0017	Vnut 8 Ramka	C0017	rich abs
PFT0017	Vnut 8 Ramka	C0014	rish abs otxod
PFT0145	Du 47 korpus	C0070	oq siryo
PFTS0006	20w-qopqoq	C0232	PP lampa
PFTS0006	20w-qopqoq	C0233	PP lampa otxod
PFTS0006	20w-qopqoq	C0160	PPT
PFT0059	Ve40 Patron tagi	C0063	yangi qora siryo
PFT0055	Drayver qopqoq	C0253	Musr otxod
PFT0055	Drayver qopqoq	C0038	Qizil rang
PFT0055	Drayver qopqoq	C0249	Musr drobilka
PFTS0012	7w-korpus(10)	C0250	PBT qozon
PFTS0012	7w-korpus(10)	LZ0021	AL-KORPUS-7(10)
PFTS0012	7w-korpus(10)	C0150	PBT otxod
PFT0141	Akril Panel 24 dumaloq	C0060	PP otxod
PFT0141	Akril Panel 24 dumaloq	C0040	W rang
PFT0141	Akril Panel 24 dumaloq	C0057	PP
PFT0186	RICH Ramka 2	C0017	rich abs
PFT0186	RICH Ramka 2	C0014	rich abs otxod
PFTS0007	30w-qopqoq	C0160	PPT
PFTS0007	30w-qopqoq	C0233	PP lampa otxod
PFTS0007	30w-qopqoq	C0232	PP lampa
PFT0160	Tosh keramika 24 (2 talik roz)	PFE0217	Tosh keramika 24 (2 talik roz) tozalash
PFT0167	Qopqoq 97	C0014	rich abs otxod
PFT0167	Qopqoq 97	C0017	rich abs
PFT0124	vilka 59 60 ichi	C0074	PC otxod
PFT0124	vilka 59 60 ichi	C0166	PC drobilka
PFT0124	vilka 59 60 ichi	C0048	Qora rang
PFT0164	Tosh plast 79	C0071	PC
PFT0164	Tosh plast 79	C0271	kul rang
PFT0164	Tosh plast 79	C0074	PC otxod
PFT0123	vilka 60	C0262	Rich artel aralash otxod
PFT0123	vilka 60	C0157	artel abs
PFT0123	vilka 60	C0017	rich abs
PFTS0005	18w-qopqoq	C0231	PC lampa
PFTS0005	18w-qopqoq	C0234	PC lampa otxod
PFT0036	Vnut 16 Tagi	C0178	Shit rang
PFT0036	Vnut 16 Tagi	C0060	PP otxod
PFT0036	Vnut 16 Tagi	C0053	Kaltsiy
PFT0036	Vnut 16 Tagi	C0059	PP drobilka
PFT0109	Ramka 71	C0017	rich abs
PFT0109	Ramka 71	C0014	rish abs otxod
PFT0104	Ramka 104	C0017	rich abs
PFT0104	Ramka 104	C0014	rish abs otxod
PFT0135	Akril Panel 18 turburchak	C0057	PP
PFT0135	Akril Panel 18 turburchak	C0040	W rang
PFT0135	Akril Panel 18 turburchak	C0060	PP otxod
PFT0044	PLASMASSA TEGI-100	C0014	rich abs otxod
PFT0044	PLASMASSA TEGI-100	C0017	rich abs
PFT0101	Prazrachniy 71	C0071	PC
PFT0101	Prazrachniy 71	C0074	PC otxod
PFTS0001	5w-qopqoq	C0231	PC lampa
PFTS0001	5w-qopqoq	C0234	PC lampa otxod
PFT0027	Vnut 6 Tagi	C0059	PP drobilka
PFT0027	Vnut 6 Tagi	C0060	PP otxod
PFTS0010	60w-qopqoq	C0233	PP lampa otxod
PFTS0010	60w-qopqoq	C0160	PPT
PFTS0010	60w-qopqoq	C0232	PP lampa
PFT0003	Vnut 8 Oyna	C0048	Qora rang
PFT0003	Vnut 8 Oyna	C0217	Stretch plafon
PFT0003	Vnut 8 Oyna	C0061	palistrol otxod
PFT0003	Vnut 8 Oyna	C0064	palistrol
PFTS0163	50-03 WHITE Rom	C0064	palistrol
PFTS0163	50-03 WHITE Rom	C0061	palistrol otxod
PFT0016	Vnut 16 Ramka	C0014	rish abs otxod
PFT0016	Vnut 16 Ramka	C0017	rich abs
PFT0027	Vnut 6 Tagi	C0178	Shit rang
PFT0027	Vnut 6 Tagi	C0053	Kaltsiy
PFT0052	Du 61 korpus usti stakan	C0069	qora siryo otxod
PFT0052	Du 61 korpus usti stakan	C0066	qora siryo
PFTS0020	60w-korpus	C0149	PBT
PFTS0020	60w-korpus	C0150	PBT otxod
PFTS0071	50-71 Plafon korpus	PFTS0021	Pet list 475-480 Boyalgan
PFTS0071	50-71 Plafon korpus	C0182	PVC otxod
PFTS0029	50-03 Plafon korpus	PFTS0022	Pet list 465-470 Boyalgan
PFTS0029	50-03 Plafon korpus	C0213	Pet list otxod
PFTS0223	30-03 COFFEE Rom	PZ0030	PZ-COFFEE rang
PFTS0223	30-03 COFFEE Rom	C0061	palistrol otxod
PFTS0223	30-03 COFFEE Rom	C0261	palistrol qozon
PFT0193	Vnut 24 Ramka Platinum	C0177	Platinum  rang
PFTS0212	50-69 Black Rom	C0261	palistrol qozon
PFT0064	Tarelka 14	C0044	songru abs drobilka
PFT0064	Tarelka 14	C0056	songru abs otxod
PFTS0218	40-18 Plafon Korpus	PFTS0023	Pet list 365-370 Boyalgan
PFTS0218	40-18 Plafon Korpus	C0213	Pet list otxod
PFT0131	Du57 korpus	C0014	rich abs otxod
PFT0131	Du57 korpus	C0011	rich abs drobilka
PFT0131	Du57 korpus	C0017	rich abs
PFT0037	KRISHKA-100	C0014	rish abs otxod
PFT0037	KRISHKA-100	C0017	rich abs
PFTS0020	60w-korpus	LZ0057	AL-KORPUS-60
PFT0193	Vnut 24 Ramka Platinum	PFT0014	Vnut 24 Ramka
PFT0193	Vnut 24 Ramka Platinum	C0179	Plastafleks
PFT0193	Vnut 24 Ramka Platinum	C0186	Rastvaritel
PFT0047	PARRAK-100 Platinum	C0177	Platinum  rang
PFT0047	PARRAK-100 Platinum	PFT0048	PARRAK-100
PFT0047	PARRAK-100 Platinum	C0186	Rastvaritel
PFTS0164	50-03 BLUE Rom	PZ0025	PZ-BLUE rang
PFTS0164	50-03 BLUE Rom	C0261	palistrol qozon
PFTS0164	50-03 BLUE Rom	C0061	palistrol otxod
PFTS0038	50-15 Plafon korpus	C0213	Pet list otxod
PFTS0038	50-15 Plafon korpus	PFTS0022	Pet list 465-470 Boyalgan
PFT0065	Knopka 15	C0068	songru abs
PFT0065	Knopka 15	C0056	songru abs otxod
PFTS0191	50-60 COFFEE Rom	C0261	palistrol qozon
PFTS0191	50-60 COFFEE Rom	C0061	palistrol otxod
PFTS0191	50-60 COFFEE Rom	PZ0028	PZ-To'q COFFEE rang
PFT0207	Vnut 24 Ramka qora	C0266	Qora abs ( Nar Patron)
PFTS0083	40-14 Plafon korpus	PFTS0023	Pet list 365-370 Boyalgan
PFTS0083	40-14 Plafon korpus	C0213	Pet list otxod
PFTS0072	50-72 Plafon korpus	C0182	PVC otxod
PFTS0072	50-72 Plafon korpus	PFTS0021	Pet list 475-480 Boyalgan
PFT0146	Du 50 messi korpus	C0014	rish abs otxod
PFT0146	Du 50 messi korpus	C0011	rich abs drobilka
PFT0066	Ramka 17	C0056	songru abs otxod
PFT0066	Ramka 17	C0068	songru abs
PFTS0091	40-30 Plafon korpus	PFTS0023	Pet list 365-370 Boyalgan
PFTS0091	40-30 Plafon korpus	C0213	Pet list otxod
PFTS0114	40-01 BLUE Rom	C0261	palistrol qozon
PFTS0114	40-01 BLUE Rom	C0061	palistrol otxod
PFTS0114	40-01 BLUE Rom	PZ0025	PZ-BLUE rang
PFTS0118	40-03 COFFEE Rom	PZ0030	PZ-COFFEE rang
PFTS0118	40-03 COFFEE Rom	C0261	palistrol qozon
PFTS0118	40-03 COFFEE Rom	C0061	palistrol otxod
PFTS0228	50-09 WHITE Rom	C0061	palistrol otxod
PFTS0228	50-09 WHITE Rom	C0064	palistrol
PFTS0025	50-45 Plafon korpus	PFTS0022	Pet list 465-470 Boyalgan
PFTS0025	50-45 Plafon korpus	C0213	Pet list otxod
PFTS0136	40-09 COFFEE Rom	C0061	palistrol otxod
PFTS0136	40-09 COFFEE Rom	PZ0028	PZ-To'q COFFEE rang
PFTS0136	40-09 COFFEE Rom	C0261	palistrol qozon
PFT0215	Vnut 16 Tagi qora	C0048	Qora rang
PFT0215	Vnut 16 Tagi qora	C0053	Kaltsiy
PFT0215	Vnut 16 Tagi qora	C0059	PP drobilka
PFT0165	Sir 79	C0074	PC otxod
PFT0165	Sir 79	C0271	kul rang
PFT0165	Sir 79	C0071	PC
PFT0088	Ichi 80	C0014	rish abs otxod
PFT0088	Ichi 80	C0017	rich abs
PFT0169	Tarelka 104	C0014	rich abs otxod
PFT0169	Tarelka 104	C0011	rich abs drobilka
PFT0159	Tosh keramika 23 (1 talik roz)	C0172	Kaliy
PFTS0002	7w-qopqoq (10)	C0234	PC lampa otxod
PFTS0002	7w-qopqoq (10)	C0231	PC lampa
PFT0159	Tosh keramika 23 (1 talik roz)	C0170	Gulbota
PFT0159	Tosh keramika 23 (1 talik roz)	C0173	Shira
PFT0159	Tosh keramika 23 (1 talik roz)	C0169	Shpat (drabirka)
PFT0159	Tosh keramika 23 (1 talik roz)	C0171	Kvarts
PFT0099	Knopka 71	C0014	rish abs otxod
PFT0099	Knopka 71	C0017	rich abs
PFT0134	Akril Panel 24 turburchak	C0060	PP otxod
PFT0134	Akril Panel 24 turburchak	C0040	W rang
PFT0134	Akril Panel 24 turburchak	C0057	PP
PFT0159	Tosh keramika 23 (1 talik roz)	C0174	Tosh (shar)
PFT0089	Ichi 81	C0014	rish abs otxod
PFT0089	Ichi 81	C0017	rich abs
PFT0133	Vnut 12 Ramka	C0017	rich abs
PFT0133	Vnut 12 Ramka	C0014	rish abs otxod
PFT0143	Akril Panel 36 dumaloq	C0040	W rang
PFT0143	Akril Panel 36 dumaloq	C0057	PP
PFT0143	Akril Panel 36 dumaloq	C0060	PP otxod
PFT0081	Sir tosh 23	C0043	aralash otxod
PFT0081	Sir tosh 23	C0046	aralash otxod drobilka
PFTS0104	40-43 Plafon korpus	C0213	Pet list otxod
PFTS0104	40-43 Plafon korpus	PFTS0023	Pet list 365-370 Boyalgan
PFT0024	NAr 8 Tagi	C0014	rish abs otxod
PFT0024	NAr 8 Tagi	C0017	rich abs
PFT0002	Vnut 2 Oyna	C0217	Stretch plafon
PFT0002	Vnut 2 Oyna	C0048	Qora rang
PFT0002	Vnut 2 Oyna	C0061	palistrol otxod
PFT0002	Vnut 2 Oyna	C0064	palistrol
PFT0080	Tosh plast 14	C0042	songru tosh abs otxod
PFT0080	Tosh plast 14	C0045	songru tosh abs
PFTS0057	50-48 Plafon korpus	C0213	Pet list otxod
PFTS0057	50-48 Plafon korpus	PFTS0022	Pet list 465-470 Boyalgan
PFT0030	Vnut 24 Oyna	C0064	palistrol
PFT0030	Vnut 24 Oyna	C0217	Stretch plafon
PFT0030	Vnut 24 Oyna	C0061	palistrol otxod
PFT0030	Vnut 24 Oyna	C0048	Qora rang
PFT0086	Churvaqa 72	C0074	PC otxod
PFT0086	Churvaqa 72	C0071	PC
PFTS0180	50-02 COFFEE Rom	PZ0030	PZ-COFFEE rang
PFTS0180	50-02 COFFEE Rom	C0061	palistrol otxod
PFTS0180	50-02 COFFEE Rom	C0261	palistrol qozon
PFT0023	Nar 6 Tagi	C0014	rish abs otxod
PFT0023	Nar 6 Tagi	C0017	rich abs
PFT0023	Nar 6 Tagi	C0011	rich abs drobilka
PFTS0224	30-03 WHITE Rom	C0064	palistrol
PFTS0224	30-03 WHITE Rom	C0061	palistrol otxod
PFTS0195	50-61 WHITE Rom	C0061	palistrol otxod
PFTS0195	50-61 WHITE Rom	C0064	palistrol
PFTS0110	40-49 Plafon korpus	PFTS0023	Pet list 365-370 Boyalgan
PFTS0110	40-49 Plafon korpus	C0213	Pet list otxod
PFT0151	36 Driver korpus Dusel YTM	C0047	Kraska
PFT0151	36 Driver korpus Dusel YTM	PFT0056	Drayver korpus
PFT0151	36 Driver korpus Dusel YTM	C0186	Rastvaritel
PFTS0193	50-60 BLUE Rom	C0061	palistrol otxod
PFTS0193	50-60 BLUE Rom	C0261	palistrol qozon
PFT0051	Du 64 korpus	C0066	qora siryo
PFT0051	Du 64 korpus	C0069	qora siryo otxod
PFT0174	pr 24-1 qopqoq	C0057	PP
PFT0174	pr 24-1 qopqoq	C0040	W rang
PFT0174	pr 24-1 qopqoq	C0060	PP otxod
PFT0022	Nar 12 Tagi	C0017	rich abs
PFT0022	Nar 12 Tagi	C0014	rish abs otxod
PFT0022	Nar 12 Tagi	C0011	rich abs drobilka
PFTS0095	40-34 Plafon korpus	PFTS0023	Pet list 365-370 Boyalgan
PFTS0095	40-34 Plafon korpus	C0213	Pet list otxod
PFTS0039	50-24 Plafon korpus	C0213	Pet list otxod
PFTS0039	50-24 Plafon korpus	PFTS0022	Pet list 465-470 Boyalgan
PFTS0051	50-39 Plafon korpus	C0213	Pet list otxod
PFTS0051	50-39 Plafon korpus	PFTS0022	Pet list 465-470 Boyalgan
PFTS0090	40-29 Plafon korpus	PFTS0023	Pet list 365-370 Boyalgan
PFTS0090	40-29 Plafon korpus	C0213	Pet list otxod
PFTS0064	50-64 Plafon korpus	C0182	PVC otxod
PFTS0064	50-64 Plafon korpus	PFTS0021	Pet list 475-480 Boyalgan
PFT0045	PLASMASSA TEGI-150	C0014	rish abs otxod
PFT0045	PLASMASSA TEGI-150	C0017	rich abs
PFTS0048	50-33 Plafon korpus	PFTS0022	Pet list 465-470 Boyalgan
PFTS0048	50-33 Plafon korpus	C0213	Pet list otxod
PFTS0074	40-02 Plafon korpus	PFTS0023	Pet list 365-370 Boyalgan
PFTS0074	40-02 Plafon korpus	C0213	Pet list otxod
PFTS0177	50-01 WHITE Rom	C0064	palistrol
PFTS0177	50-01 WHITE Rom	C0061	palistrol otxod
PFT0211	Vnut 12 Ramka qora	C0266	Qora abs ( Nar Patron)
PFT0210	Nar 16 Tagi qora	C0266	Qora abs ( Nar Patron)
PFT0071	Prazrachniy 22	C0043	aralash otxod
PFT0071	Prazrachniy 22	C0046	aralash otxod drobilka
PFTS0178	50-01 BLUE Rom	C0261	palistrol qozon
PFTS0178	50-01 BLUE Rom	PZ0025	PZ-BLUE rang
PFTS0178	50-01 BLUE Rom	C0061	palistrol otxod
PFTS0014	15w-korpus	LZ0008	AL-KORPUS-15
PFTS0014	15w-korpus	C0150	PBT otxod
PFTS0014	15w-korpus	C0250	PBT qozon
PFT0144	Akril Panel Nar 48  turburchak	C0057	PP
PFT0144	Akril Panel Nar 48  turburchak	C0060	PP otxod
PFT0144	Akril Panel Nar 48  turburchak	C0040	W rang
PFT0213	Vnut 12 Tagi qora	C0059	PP drobilka
PFT0213	Vnut 12 Tagi qora	C0053	Kaltsiy
PFT0213	Vnut 12 Tagi qora	C0048	Qora rang
PFT0069	Ramka 16	C0068	songru abs
PFT0069	Ramka 16	C0056	songru abs otxod
PFTS0093	40-32 Plafon korpus	PFTS0023	Pet list 365-370 Boyalgan
PFTS0093	40-32 Plafon korpus	C0213	Pet list otxod
PFTS0030	50-04 Plafon korpus	C0213	Pet list otxod
PFTS0030	50-04 Plafon korpus	PFTS0022	Pet list 465-470 Boyalgan
PFTS0078	40-06 Plafon korpus	C0213	Pet list otxod
PFTS0078	40-06 Plafon korpus	PFTS0023	Pet list 365-370 Boyalgan
PFT0194	Nar 8 Tagi platinum	C0179	Plastafleks
PFT0194	Nar 8 Tagi platinum	C0186	Rastvaritel
PFT0194	Nar 8 Tagi platinum	C0177	Platinum  rang
PFT0194	Nar 8 Tagi platinum	PFT0024	NAr 8 Tagi
PFTS0181	50-02 WHITE Rom	C0064	palistrol
PFTS0181	50-02 WHITE Rom	C0061	palistrol otxod
PFTS0075	40-03 Plafon korpus	PFTS0023	Pet list 365-370 Boyalgan
PFTS0075	40-03 Plafon korpus	C0213	Pet list otxod
PFT0152	36 Driver korpus Veral YTM	PFT0056	Drayver korpus
PFT0152	36 Driver korpus Veral YTM	C0186	Rastvaritel
PFT0152	36 Driver korpus Veral YTM	C0047	Kraska
PFTS0182	50-04 COFFEE Rom	PZ0028	PZ-To'q COFFEE rang
PFTS0182	50-04 COFFEE Rom	C0261	palistrol qozon
PFTS0182	50-04 COFFEE Rom	C0061	palistrol otxod
PFTS0045	50-30 Plafon korpus	C0213	Pet list otxod
PFTS0045	50-30 Plafon korpus	PFTS0022	Pet list 465-470 Boyalgan
PFT0040	pr 24-2 korpusi tagi	C0072	PP drobilka sergili
PFT0040	pr 24-2 korpusi tagi	C0060	PP otxod
PFT0040	pr 24-2 korpusi tagi	C0053	Kaltsiy
PFT0040	pr 24-2 korpusi tagi	C0052	Ko'k rang
PFT0125	Ramka 67	C0014	rish abs otxod
PFT0125	Ramka 67	C0017	rich abs
PFT0190	Vnut 8 Ramka Gold	PFT0017	Vnut 8 Ramka
PFT0190	Vnut 8 Ramka Gold	C0186	Rastvaritel
PFTS0120	40-03 BLUE Rom	C0061	palistrol otxod
PFTS0120	40-03 BLUE Rom	PZ0025	PZ-BLUE rang
PFTS0120	40-03 BLUE Rom	C0261	palistrol qozon
PFT0190	Vnut 8 Ramka Gold	C0175	Gold rang
PFT0190	Vnut 8 Ramka Gold	C0179	Plastafleks
PFTS0082	40-13 Plafon korpus	PFTS0023	Pet list 365-370 Boyalgan
PFTS0082	40-13 Plafon korpus	C0213	Pet list otxod
PFT0054	Du 61 korpus tagi	C0266	Qora abs ( Nar Patron)
PFT0090	Ichi 82	C0017	rich abs
PFT0090	Ichi 82	C0014	rish abs otxod
PFT0140	Akril Panel 18 dumaloq	C0057	PP
PFT0140	Akril Panel 18 dumaloq	C0060	PP otxod
PFT0140	Akril Panel 18 dumaloq	C0040	W rang
PFT0155	8-18 Driver korpus Dusel YTM	C0047	Kraska
PFT0155	8-18 Driver korpus Dusel YTM	PFT0056	Drayver korpus
PFT0155	8-18 Driver korpus Dusel YTM	C0186	Rastvaritel
PFT0085	Churvaqa 71	C0074	PC otxod
PFT0085	Churvaqa 71	C0071	PC
PFT0204	Nar 36 Tagi	C0017	rich abs
PFTS0003	12w-qopqoq	C0231	PC lampa
PFTS0003	12w-qopqoq	C0234	PC lampa otxod
PFT0056	Drayver korpus	C0041	Oq rang
PFT0056	Drayver korpus	C0259	PC drobilka ko'cha otxod
PFT0056	Drayver korpus	C0258	PC drobilka ko'cha
PFT0028	Vnut 2 Tagi	C0059	PP drobilka
PFT0028	Vnut 2 Tagi	C0178	Shit rang
PFT0028	Vnut 2 Tagi	C0053	Kaltsiy
PFT0028	Vnut 2 Tagi	C0060	PP otxod
PFT0039	ps 24-2 korpusi tagi	C0072	PP drobilka sergili
PFT0039	ps 24-2 korpusi tagi	C0053	Kaltsiy
PFT0039	ps 24-2 korpusi tagi	C0060	PP otxod
PFT0039	ps 24-2 korpusi tagi	C0052	Ko'k rang
PFT0007	KRISHKA-150	C0014	rish abs otxod
PFT0007	KRISHKA-150	C0017	rich abs
PFT0031	Vnut 8 Tagi	C0060	PP otxod
PFTS0102	40-41 Plafon korpus	PFTS0023	Pet list 365-370 Boyalgan
PFTS0102	40-41 Plafon korpus	C0213	Pet list otxod
PFT0031	Vnut 8 Tagi	C0059	PP drobilka
PFT0031	Vnut 8 Tagi	C0178	Shit rang
PFT0031	Vnut 8 Tagi	C0053	Kaltsiy
PFTS0179	50-01 RED Rom	C0061	palistrol otxod
PFTS0179	50-01 RED Rom	C0261	palistrol qozon
PFTS0179	50-01 RED Rom	PZ0031	PZ-RED rang
PFT0168	Ramka 103	C0017	rich abs
PFT0168	Ramka 103	C0014	rich abs otxod
PFTS0027	50-01 Plafon korpus	PFTS0022	Pet list 465-470 Boyalgan
PFTS0027	50-01 Plafon korpus	C0213	Pet list otxod
PFTS0094	40-33 Plafon korpus	C0213	Pet list otxod
PFTS0094	40-33 Plafon korpus	PFTS0023	Pet list 365-370 Boyalgan
PFTS0061	50-61 Plafon korpus	C0182	PVC otxod
PFTS0061	50-61 Plafon korpus	PFTS0021	Pet list 475-480 Boyalgan
PFTS0063	50-63 Plafon korpus	C0182	PVC otxod
PFTS0063	50-63 Plafon korpus	PFTS0021	Pet list 475-480 Boyalgan
PFTS0049	50-34 Plafon korpus	C0213	Pet list otxod
PFTS0049	50-34 Plafon korpus	PFTS0022	Pet list 465-470 Boyalgan
PFTS0183	50-04 WHITE Rom	C0064	palistrol
PFTS0183	50-04 WHITE Rom	C0061	palistrol otxod
