Product_itemcode	product_Name	Material_itemcode	Material_name
PFTS0017	30w-korpus	C0150	PBT otxod
PFT0105	Ramka 106	C0017	rich abs
PFT0105	Ramka 106	C0014	rish abs otxod
PFT0119	Ramka DL-BI2	C0041	Oq rang
PFT0119	Ramka DL-BI2	C0053	Kaltsiy
PFT0119	Ramka DL-BI2	C0060	PP otxod
PFT0119	Ramka DL-BI2	C0072	PP drobilka sergili
PFT0053	Veral 40 Patron usti stakan	C0062	yangi qora siryo otxod
PFT0053	Veral 40 Patron usti stakan	C0063	yangi qora siryo
PFTS0194	50-61 COFFEE Rom	C0261	palistrol qozon
PFTS0194	50-61 COFFEE Rom	C0061	palistrol otxod
PFT0137	Akril Panel Vnut 48  turburchak	C0057	PP
PFT0137	Akril Panel Vnut 48  turburchak	C0060	PP otxod
PFT0137	Akril Panel Vnut 48  turburchak	C0040	W rang
PFTS0130	40-06 COFFEE Rom	PZ0028	PZ-To'q COFFEE rang
PFTS0130	40-06 COFFEE Rom	C0261	palistrol qozon
PFTS0130	40-06 COFFEE Rom	C0061	palistrol otxod
PFTS0194	50-61 COFFEE Rom	PZ0030	PZ-COFFEE rang
PFTS0066	50-66 Plafon korpus	PFTS0021	Pet list 475-480 Boyalgan
PFTS0066	50-66 Plafon korpus	C0182	PVC otxod
PFTS0050	50-38 Plafon korpus	C0213	Pet list otxod
PFTS0050	50-38 Plafon korpus	PFTS0022	Pet list 465-470 Boyalgan
PFTS0129	40-05 RED Rom	C0061	palistrol otxod
PFTS0129	40-05 RED Rom	C0261	palistrol qozon
PFT0057	Korpus 42	C0053	Kaltsiy
PFT0057	Korpus 42	C0059	PP drobilka
PFT0057	Korpus 42	C0052	Ko'k rang
PFT0057	Korpus 42	C0060	PP otxod
PFT0209	Vnut 16 Ramka qora	C0266	Qora abs ( Nar Patron)
PFT0073	Knopka 22	C0068	songru abs
PFT0073	Knopka 22	C0056	songru abs otxod
PFTS0012	7w-korpus(10)	C0149	PBT
PFTS0012	7w-korpus(10)	C0196	PBT drobilka
PFTS0179	50-01 RED Rom	C0064	palistrol
PFTS0179	50-01 RED Rom	C0058	palistrol otxod drobilka
PFTS0130	40-06 COFFEE Rom	C0064	palistrol
PFTS0130	40-06 COFFEE Rom	C0058	palistrol otxod drobilka
PFTS0050	50-38 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFTS0066	50-66 Plafon korpus	PZ0105	PZ-Pet list 475-480
PFTS0194	50-61 COFFEE Rom	C0064	palistrol
PFTS0194	50-61 COFFEE Rom	C0058	palistrol otxod drobilka
PFTS0128	40-05 BLUE Rom	C0064	palistrol
PFTS0128	40-05 BLUE Rom	C0058	palistrol otxod drobilka
PFTS0042	50-27 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFTS0162	50-03 COFFEE Rom	C0058	palistrol otxod drobilka
PFTS0162	50-03 COFFEE Rom	C0064	palistrol
PFTS0013	12w-korpus	C0149	PBT
PFTS0013	12w-korpus	C0196	PBT drobilka
PFTS0129	40-05 RED Rom	C0064	palistrol
